date,000001.SH,T.CFE,S0147027
2024-03-18,3084.9262,103.905,503.04
2024-03-19,3062.7558,104.1,504.36
2024-03-20,3079.6859,103.925,504.84
2024-03-21,3077.113,104.07,514.74
2024-03-22,3048.0336,103.81,511.42
2024-03-25,3026.3055,103.795,512.3
2024-03-26,3031.4809,103.765,513.26
2024-03-27,2993.1388,103.91,515.42
2024-03-28,3010.6636,103.9,518.98
2024-03-29,3041.1669,104.11,528.64
2024-04-01,3077.3786,103.785,533.0
2024-04-02,3074.9586,103.91,533.46
2024-04-03,3069.2959,104.025,541.06
2024-04-08,3047.0526,104.11,553.52
2024-04-09,3048.5369,104.24,556.2
2024-04-10,3027.3349,104.14,557.7
2024-04-11,3034.2464,104.175,555.5
2024-04-12,3019.4735,104.395,565.46
2024-04-15,3057.3776,104.415,563.56
2024-04-16,3007.0681,104.46,566.08
2024-04-17,3071.3806,104.465,565.02
2024-04-18,3074.2246,104.61,563.22
2024-04-19,3065.261,104.575,563.68
2024-04-22,3044.5952,104.645,556.16
2024-04-23,3021.9775,104.845,545.7
2024-04-24,3044.8223,104.48,547.64
2024-04-25,3052.9,104.47,546.62
2024-04-26,3088.6357,104.195,550.46
2024-04-29,3113.0432,103.785,550.28
2024-04-30,3104.8245,104.115,549.28
2024-05-06,3140.7204,104.115,543.1
2024-05-07,3147.738,104.375,549.0
2024-05-08,3128.4798,104.425,546.02
2024-05-09,3154.3201,104.215,543.6
2024-05-10,3154.5472,104.295,551.0
2024-05-13,3148.0207,104.445,551.0
2024-05-14,3145.7743,104.465,551.0
2024-05-15,3119.9021,104.44,551.0
2024-05-16,3122.401,104.27,561.5
2024-05-17,3154.0263,104.25,562.18
2024-05-20,3171.1451,104.28,576.12
2024-05-21,3157.9657,104.21,569.3
2024-05-22,3158.5399,104.275,570.16
2024-05-23,3116.387,104.36,556.78
2024-05-24,3088.8705,104.305,551.58
2024-05-27,3124.0427,104.345,552.9
2024-05-28,3109.5721,104.465,553.18
2024-05-29,3111.0176,104.5,556.58
2024-05-30,3091.6778,104.485,551.0
2024-05-31,3086.8134,104.35,552.82
2024-06-03,3078.4887,104.53,548.7
2024-06-04,3091.1992,104.575,553.58
2024-06-05,3065.4034,104.67,551.46
2024-06-06,3048.7939,104.675,559.24
2024-06-07,3051.2787,104.695,560.04
2024-06-11,3028.0451,104.76,542.4
2024-06-12,3037.4675,104.695,547.0
2024-06-13,3028.9187,104.72,545.98
2024-06-14,3032.6333,104.755,545.0
2024-06-17,3015.8907,104.765,547.48
2024-06-18,3030.2464,104.855,548.64
2024-06-19,3018.0491,104.975,549.8
2024-06-20,3005.4369,105.015,555.94
2024-06-21,2998.1377,104.91,558.3
2024-06-24,2963.0989,105.055,550.64
2024-06-25,2949.9963,105.15,550.3
2024-06-26,2972.5251,105.135,546.78
2024-06-27,2945.8524,105.305,544.22
2024-06-28,2967.4028,105.32,549.48
2024-07-01,2994.7303,104.975,550.0
2024-07-02,2997.0111,105.24,550.0
2024-07-03,2982.3756,105.37,553.66
2024-07-04,2957.567,105.27,551.94
2024-07-05,2949.9333,105.135,555.8
2024-07-08,2922.4498,104.875,560.98
2024-07-09,2959.3724,105.085,557.46
2024-07-10,2939.3636,105.11,557.46
2024-07-11,2970.3874,105.13,557.46
2024-07-12,2971.295,105.245,557.46
2024-07-15,2974.0107,105.34,557.46
2024-07-16,2976.3043,105.38,572.16
2024-07-17,2962.8549,105.435,578.94
2024-07-18,2977.1334,105.3,579.0
2024-07-19,2982.3086,105.46,563.88
2024-07-22,2964.2155,105.715,563.4
2024-07-23,2915.3685,105.87,560.58
2024-07-24,2901.9518,105.86,567.46
2024-07-25,2886.7416,105.835,553.76
2024-07-26,2890.8973,105.925,555.56
2024-07-29,2891.8453,105.95,559.26
2024-07-30,2879.2996,105.96,560.18
2024-07-31,2938.7493,106.115,564.32
2024-08-01,2932.3871,106.265,569.28
2024-08-02,2905.3375,106.31,572.58
2024-08-05,2860.6978,106.55,559.6
2024-08-06,2867.2837,106.31,553.74
2024-08-07,2869.8338,106.515,555.54
2024-08-08,2869.9014,106.19,555.28
2024-08-09,2862.1941,105.945,560.08
2024-08-12,2858.2046,105.31,562.02
2024-08-13,2867.946,105.535,569.0
2024-08-14,2850.6539,105.69,567.5
2024-08-15,2877.3579,105.545,564.6
2024-08-16,2879.4298,105.695,566.1
2024-08-19,2893.6738,105.8,571.78
2024-08-20,2866.661,105.79,572.22
2024-08-21,2856.5839,105.515,574.58
2024-08-22,2848.7718,105.86,573.32
2024-08-23,2854.3675,105.95,572.0
2024-08-26,2855.5203,106.0,575.14
2024-08-27,2848.7312,105.74,575.0
2024-08-28,2837.4293,105.9,575.0
2024-08-29,2823.106,105.83,574.86
2024-08-30,2842.2142,105.755,575.58
2024-09-02,2811.035,106.03,571.92
2024-09-03,2802.9787,106.065,571.48
2024-09-04,2784.2783,106.13,569.56
2024-09-05,2788.3141,106.155,570.86
2024-09-06,2765.8066,106.295,576.8
2024-09-09,2736.4876,106.395,570.5
2024-09-10,2744.1921,106.6,572.2
2024-09-11,2721.7952,106.7,572.2
2024-09-12,2717.1231,106.635,572.2
2024-09-13,2704.0896,106.805,572.2
2024-09-18,2717.2813,106.905,585.0
2024-09-19,2736.0222,106.785,582.2
2024-09-20,2736.8139,106.965,588.2
2024-09-23,2748.9177,106.93,593.14
2024-09-24,2863.1255,106.67,592.0
2024-09-25,2896.3057,106.95,596.34
2024-09-26,3000.9526,106.605,598.0
2024-09-27,3087.5286,105.64,597.74
2024-09-30,3336.4974,105.365,595.34
2024-10-08,3489.7751,105.345,594.78
2024-10-09,3258.8578,105.61,587.7
2024-10-10,3301.9259,105.86,589.0
2024-10-11,3217.7377,105.91,595.0
2024-10-14,3284.3225,105.935,599.0
2024-10-15,3201.2919,106.185,600.0
2024-10-16,3202.948,106.09,610.92
2024-10-17,3169.3843,106.345,612.76
2024-10-18,3261.5633,106.16,617.9
2024-10-21,3268.11,106.255,624.68
2024-10-22,3285.8669,106.035,625.22
2024-10-23,3302.8028,105.87,628.28
2024-10-24,3280.2625,105.765,622.74
2024-10-25,3299.7003,105.795,622.94
2024-10-28,3322.1975,105.855,624.74
2024-10-29,3286.407,105.96,630.2
2024-10-30,3266.2378,105.94,637.8
2024-10-31,3279.8244,105.95,636.7
2024-11-01,3272.0142,106.195,625.5
2024-11-04,3310.2072,106.14,623.76
2024-11-05,3386.9869,106.325,625.2
2024-11-06,3383.8062,106.32,623.16
2024-11-07,3470.6609,106.45,612.02
2024-11-08,3452.2971,106.47,616.88
2024-11-11,3470.0657,106.485,618.38
2024-11-12,3421.9701,106.785,618.38
2024-11-13,3439.2778,106.71,618.38
2024-11-14,3379.8389,106.715,618.38
2024-11-15,3330.7263,106.71,618.38
2024-11-18,3323.8486,106.55,600.6
2024-11-19,3346.0098,106.75,609.84
2024-11-20,3367.9893,106.67,610.6
2024-11-21,3370.4039,106.86,617.7
2024-11-22,3267.1916,106.93,625.44
2024-11-25,3263.7597,107.095,616.94
2024-11-26,3259.7572,107.04,608.84
2024-11-27,3309.7789,107.01,614.38
2024-11-28,3295.6983,107.17,611.66
2024-11-29,3326.4557,107.09,617.12
2024-12-02,3363.9823,107.5,611.6
2024-12-03,3378.8063,107.3,617.98
2024-12-04,3364.6498,107.58,617.0
2024-12-05,3368.8553,107.565,617.32
2024-12-06,3404.0764,107.55,615.36
2024-12-09,3402.5343,107.515,619.1
2024-12-10,3422.6607,108.215,621.0
2024-12-11,3432.4902,108.12,627.1
2024-12-12,3461.4998,108.28,631.1
2024-12-13,3391.8782,108.49,626.5
2024-12-16,3386.3312,108.715,620.0
2024-12-17,3361.485,108.615,618.62
2024-12-18,3382.2081,108.465,617.98
2024-12-19,3370.0331,108.535,612.82
2024-12-20,3368.0693,108.895,613.4
2024-12-23,3351.2571,108.755,619.24
2024-12-24,3393.5281,108.7,616.62
2024-12-25,3393.3501,108.6,617.82
2024-12-26,3398.0765,108.5,618.64
2024-12-27,3400.142,108.86,618.98
2024-12-30,3407.3259,108.595,617.14
2024-12-31,3351.763,108.925,618.0
2025-01-02,3262.5607,109.18,620.9
2025-01-03,3211.4299,109.44,626.62
2025-01-06,3206.9228,109.47,623.8
